wave[um],flux[W/m^2/um]
0.3001,1.4140e-19
0.3003,1.4751e-19
0.3005,1.5328e-19
0.3006,1.5783e-19
0.3008,1.6149e-19
0.3009,1.6453e-19
0.3011,1.6715e-19
0.3012,1.6946e-19
0.3014,1.7149e-19
0.3015,1.7324e-19
0.3017,1.7477e-19
0.3018,1.7615e-19
0.3020,1.7727e-19
0.3021,1.7807e-19
0.3023,1.7845e-19
0.3024,1.7820e-19
0.3026,1.7695e-19
0.3027,1.7394e-19
0.3029,1.6770e-19
0.3030,1.5491e-19
0.3032,1.2853e-19
0.3033,8.2459e-20
0.3035,3.4370e-20
0.3036,2.5934e-20
0.3038,6.6968e-20
0.3039,1.2024e-19
0.3041,1.5615e-19
0.3042,1.7558e-19
0.3044,1.8654e-19
0.3045,1.9348e-19
0.3047,1.9840e-19
0.3048,2.0250e-19
0.3050,2.0619e-19
0.3051,2.0901e-19
0.3053,2.1121e-19
0.3054,2.1314e-19
0.3056,2.1488e-19
0.3058,2.1645e-19
0.3059,2.1790e-19
0.3061,2.1922e-19
0.3062,2.2049e-19
0.3064,2.2160e-19
0.3065,2.2261e-19
0.3067,2.2364e-19
0.3068,2.2463e-19
0.3070,2.2549e-19
0.3071,2.2612e-19
0.3073,2.2660e-19
0.3074,2.2695e-19
0.3076,2.2722e-19
0.3077,2.2738e-19
0.3079,2.2713e-19
0.3081,2.2650e-19
0.3082,2.2568e-19
0.3084,2.2448e-19
0.3085,2.2265e-19
0.3087,2.1996e-19
0.3088,2.1605e-19
0.3090,2.1047e-19
0.3091,2.0262e-19
0.3093,1.9122e-19
0.3094,1.7435e-19
0.3096,1.4943e-19
0.3098,1.1387e-19
0.3099,6.9467e-20
0.3101,2.8639e-20
0.3102,7.4494e-21
0.3104,1.0352e-20
0.3105,3.7638e-20
0.3107,8.2248e-20
0.3108,1.2695e-19
0.3110,1.6164e-19
0.3111,1.8600e-19
0.3113,2.0277e-19
0.3115,2.1444e-19
0.3116,2.2284e-19
0.3118,2.2911e-19
0.3119,2.3386e-19
0.3121,2.3745e-19
0.3122,2.4029e-19
0.3124,2.4253e-19
0.3126,2.4425e-19
0.3127,2.4567e-19
0.3129,2.4669e-19
0.3130,2.4748e-19
0.3132,2.4820e-19
0.3133,2.4882e-19
0.3135,2.4917e-19
0.3136,2.4927e-19
0.3138,2.4923e-19
0.3140,2.4901e-19
0.3141,2.4876e-19
0.3143,2.4846e-19
0.3144,2.4802e-19
0.3146,2.4758e-19
0.3147,2.4701e-19
0.3149,2.4628e-19
0.3151,2.4544e-19
0.3152,2.4456e-19
0.3154,2.4356e-19
0.3155,2.4239e-19
0.3157,2.4093e-19
0.3159,2.3949e-19
0.3160,2.3807e-19
0.3162,2.3654e-19
0.3163,2.3492e-19
0.3165,2.3330e-19
0.3166,2.3162e-19
0.3168,2.2976e-19
0.3170,2.2768e-19
0.3171,2.2553e-19
0.3173,2.2330e-19
0.3174,2.2084e-19
0.3176,2.1827e-19
0.3178,2.1562e-19
0.3179,2.1290e-19
0.3181,2.1004e-19
0.3182,2.0704e-19
0.3184,2.0390e-19
0.3185,2.0073e-19
0.3187,1.9748e-19
0.3189,1.9390e-19
0.3190,1.9008e-19
0.3192,1.8617e-19
0.3193,1.8199e-19
0.3195,1.7748e-19
0.3197,1.7271e-19
0.3198,1.6767e-19
0.3200,1.6228e-19
0.3201,1.5626e-19
0.3203,1.4948e-19
0.3205,1.4186e-19
0.3206,1.3293e-19
0.3208,1.2200e-19
0.3209,1.0825e-19
0.3211,9.0458e-20
0.3213,6.7554e-20
0.3214,4.0658e-20
0.3216,1.6581e-20
0.3217,3.9961e-21
0.3219,4.1017e-21
0.3221,1.6231e-20
0.3222,3.7285e-20
0.3224,5.7652e-20
0.3226,7.1515e-20
0.3227,7.9144e-20
0.3229,8.2518e-20
0.3230,8.3160e-20
0.3232,8.2081e-20
0.3234,7.9931e-20
0.3235,7.7148e-20
0.3237,7.3952e-20
0.3238,7.0487e-20
0.3240,6.6851e-20
0.3242,6.3103e-20
0.3243,5.9279e-20
0.3245,5.5429e-20
0.3247,5.1594e-20
0.3248,4.7810e-20
0.3250,4.4093e-20
0.3251,4.0473e-20
0.3253,3.6966e-20
0.3255,3.3569e-20
0.3256,3.0304e-20
0.3258,2.7195e-20
0.3260,2.4243e-20
0.3261,2.1449e-20
0.3263,1.8829e-20
0.3264,1.6385e-20
0.3266,1.4120e-20
0.3268,1.2041e-20
0.3269,1.0147e-20
0.3271,8.4398e-21
0.3273,6.9202e-21
0.3274,5.5848e-21
0.3276,4.4251e-21
0.3278,3.4320e-21
0.3279,2.5983e-21
0.3281,1.9145e-21
0.3282,1.3671e-21
0.3284,9.4125e-22
0.3286,6.2122e-22
0.3287,3.9037e-22
0.3289,2.3169e-22
0.3291,1.2869e-22
0.3292,6.6268e-23
0.3294,3.1277e-23
0.3296,1.3252e-23
0.3297,4.7890e-24
0.3299,1.3247e-24
0.3301,2.3639e-25
0.3302,2.1644e-26
0.3304,3.9762e-27
0.3306,6.5605e-26
0.3307,5.4031e-25
0.3309,2.5197e-24
0.3310,8.1674e-24
0.3312,2.1312e-23
0.3314,4.8637e-23
0.3315,1.0063e-22
0.3317,1.9178e-22
0.3319,3.4028e-22
0.3320,5.6730e-22
0.3322,8.9604e-22
0.3324,1.3516e-21
0.3325,1.9602e-21
0.3327,2.7477e-21
0.3329,3.7385e-21
0.3330,4.9570e-21
0.3332,6.4253e-21
0.3334,8.1665e-21
0.3335,1.0203e-20
0.3337,1.2555e-20
0.3339,1.5234e-20
0.3340,1.8249e-20
0.3342,2.1623e-20
0.3344,2.5367e-20
0.3345,2.9478e-20
0.3347,3.3986e-20
0.3349,3.8878e-20
0.3350,4.4135e-20
0.3352,4.9734e-20
0.3354,5.5707e-20
0.3355,6.2131e-20
0.3357,6.8977e-20
0.3359,7.6173e-20
0.3360,8.3688e-20
0.3362,9.1604e-20
0.3364,9.9891e-20
0.3366,1.0868e-19
0.3367,1.1793e-19
0.3369,1.2736e-19
0.3371,1.3694e-19
0.3372,1.4682e-19
0.3374,1.5682e-19
0.3376,1.6720e-19
0.3377,1.7814e-19
0.3379,1.8939e-19
0.3381,2.0083e-19
0.3382,2.1235e-19
0.3384,2.2444e-19
0.3386,2.3678e-19
0.3387,2.4872e-19
0.3389,2.6049e-19
0.3391,2.7272e-19
0.3393,2.8505e-19
0.3394,2.9716e-19
0.3396,3.0932e-19
0.3398,3.2167e-19
0.3399,3.3418e-19
0.3401,3.4706e-19
0.3403,3.6002e-19
0.3404,3.7234e-19
0.3406,3.8430e-19
0.3408,3.9643e-19
0.3410,4.0838e-19
0.3411,4.1991e-19
0.3413,4.3127e-19
0.3415,4.4129e-19
0.3416,4.4981e-19
0.3418,4.5723e-19
0.3420,4.6389e-19
0.3422,4.6857e-19
0.3423,4.7053e-19
0.3425,4.6995e-19
0.3427,4.6493e-19
0.3428,4.5472e-19
0.3430,4.3855e-19
